Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95
10.544525203076304,10.052433857237215,11.036616548915394,9.791936434212682,11.297113971939927
10.374498391129688,9.835508452697665,10.91348832956171,9.550184414417167,11.198812367842208
10.53268738593776,9.954538069327402,11.110836702548117,9.648484308427406,11.416890463448112
10.459473920132195,9.848055261476125,11.070892578788266,9.524389774741259,11.394558065523132
10.41667280556828,9.776644571257041,11.05670103987952,9.43783409001046,11.395511521126101
10.311718632367302,9.646867985537213,10.976569279197392,9.29491731284226,11.328519951892345
10.306046211721,9.61951225594077,10.992580167501231,9.256083132848511,11.356009290593489
10.408474387116271,9.702898052878295,11.114050721354248,9.329388503543136,11.487560270689407
10.315193851885391,9.592822792010658,11.037564911760125,9.210422651963487,11.419965051807296
10.331328336955185,9.594093141438533,11.068563532471837,9.2038244032887,11.45883227062167
10.18129725150316,9.430868533470743,10.931725969535577,9.033615566386516,11.328978936619805
10.141730390424499,9.379562629923068,10.90389815092593,8.97609538913171,11.307365391717287
10.11514098760775,9.318118927151257,10.912163048064244,8.896200934489563,11.334081040725938
10.169108788750002,9.354555198232156,10.983662379267848,8.92335657415665,11.414861003343354
10.06044407257335,9.23034916446665,10.89053898068005,8.790923463819825,11.329964681326876
10.068954318814596,9.22504618551565,10.912862452113542,8.778308205153557,11.359600432475634
10.063627659505846,9.207415082651274,10.919840236360418,8.754163523326465,11.373091795685227
10.09069170035761,9.223498058163873,10.957885342551346,8.76443347398686,11.416949926728359
10.06934430424857,9.192334867262835,10.946353741234306,8.728074115199771,11.41061449329737
9.995114209956391,9.109318421559834,10.880909998352948,8.6404064560185,11.349821963894282
10.019887703528857,9.126217585444728,10.913557821612986,8.653137201561956,11.386638205495759
9.991008474550178,9.090273989595685,10.89174295950467,8.61345395578696,11.368562993313395
10.046250297098581,9.139172288341776,10.953328305855386,8.658994195877135,11.433506398320027
10.04721275528406,9.134433930178016,10.959991580390103,8.651238007831443,11.443187502736675
