Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95
9.335882482120802,8.89550172206024,9.776263242181363,8.66237822961241,10.009386734629194
9.294036710322391,8.78966406785439,9.798409352790392,8.522665319109983,10.0654081015348
9.485241650723784,8.953155505617653,10.017327795829916,8.67148611476328,10.29899718668429
9.339703429855653,8.790527214817068,9.888879644894239,8.49981088742468,10.179595972286627
9.60546539998488,9.04369528104448,10.16723551892528,8.746312143638091,10.464618656331668
9.420848693177682,8.84902349655417,9.992673889801194,8.546317522550655,10.295379863804708
9.384757335562707,8.804625357257333,9.964889313868081,8.497522038654997,10.271992632470416
9.378489341049058,8.791395239690303,9.965583442407812,8.480606395769303,10.276372286328812
9.265638373414037,8.672673919998521,9.858602826829552,8.358777499413224,10.17249924741485
9.48280907112033,8.884885831374474,10.080732310866187,8.568364387871569,10.397253754369093
9.668518431375366,9.066416611237097,10.270620251513636,8.747683160891706,10.589353701859027
9.884619335134502,9.27905002423551,10.490188646033495,8.958480995160341,10.810757675108663
9.755149795509887,9.14382507830625,10.366474512713523,8.820209321172365,10.690090269847408
9.672474367927679,9.057096921780303,10.287851814075054,8.731335779536543,10.613612956318814
9.831837860267466,9.21335075325413,10.450324967280803,8.885943455984657,10.777732264550275
9.659787433783553,9.03876165108117,10.280813216485935,8.710010460080415,10.60956440748669
9.901016339941119,9.277865787840309,10.52416689204193,8.947989811863163,10.854042868019075
9.694854567660652,9.069909557691448,10.319799577629857,8.739083653099636,10.650625482221669
9.638641856078843,9.01217812611601,10.265105586041676,8.680548259723242,10.596735452434444
9.613720619893499,8.985973422740221,10.241467817046777,8.653664129857889,10.57377710992911
9.48382405199872,8.854997226677478,10.112650877319963,8.522116413165985,10.445531690831455
9.684557123149576,9.054831702542927,10.314282543756224,8.721475201421462,10.647639044877689
9.855074435218848,9.224622820596919,10.485526049840777,8.890881895585057,10.819266974852638
10.057014740096292,9.426041952165612,10.687987528026973,9.092025134669507,11.022004345523078
