year_th,month,ex_glutinous,ex_white,ex_hommali,ex_pathum,ex_colored,date
2551,12,25878.842,348086.945,213552.842,17166.899,0,2008-12-01
2552,01,33056.108,366048.501,194145.087,18890.033,0,2009-01-01
2552,02,42042.481999999996,386026.188,248132.869,13342.091,0,2009-02-01
2552,03,46290.62,391153.477,294799.459,15411.323,0,2009-03-01
2552,04,39176.594,346699.993,268198.014,17156.214,0,2009-04-01
2552,05,49591.354,497320.387,170328.517,17764.256,0,2009-05-01
2552,06,43967.802,601551.292,243871.39800000002,19114.395,0,2009-06-01
2552,07,38301.994,428296.936,186883.126,9391.098,0,2009-07-01
2552,08,40876.118,504820.482,162172.565,16139.885,0,2009-08-01
2552,09,38908.511,479828.119,213415.792,23901.023,0,2009-09-01
2552,10,47193.891,474869.897,185296.594,23857.965,0,2009-10-01
2552,11,53760.834,356311.16000000003,230231.964,20812.809,0,2009-11-01
2552,12,54528.37,413094.959,233657.986,19240.115,0,2009-12-01
2553,01,29933.724,466667.919,210657.578,10671.813,0,2010-01-01
2553,02,31513.091,414023.889,165022.347,13274.674,0,2010-02-01
2553,03,25878.564,532960.264,204521.155,19106.714,0,2010-03-01
2553,04,30578.178,365305.926,146114.311,18543.874,0,2010-04-01
2553,05,25226.525,443033.14,160858.161,14347.228,0,2010-05-01
2553,06,32322.401,442902.77,228690.231,17473.545,0,2010-06-01
2553,07,22102.452,358437.844,137708.148,12635.065,0,2010-07-01
2553,08,12757.095,414114.557,180300.055,18772.592,0,2010-08-01
2553,09,17212.759,650472.231,188272.467,11294.469000000001,0,2010-09-01
2553,10,19859.874,578259.826,219903.675,11103.714,0,2010-10-01
2553,11,16715.801,634634.298,245232.785,18442.907,0,2010-11-01
2553,12,32633.212,792551.535,270948.863,25636.025,0,2010-12-01
2554,01,34531.421,656379.589,149808.765,14802.887,0,2011-01-01
2554,02,17494.937,619785.426,178651.679,14757.88,0,2011-02-01
2554,03,30029.071,922733.298,203473.628,21849.883,0,2011-03-01
